Data set,Source,Predation or Parasitism,Dim,Field?,Habitat,Fresh or Marine,Predator cellularity,Vert/invert,Major grouping 1,Major grouping 2,Predator scientific name,Predator type,Trophic level predator,Prey cellularity,Vert/invert,Major grouping 1,Major grouping 2,Prey,Prey scientific name,Prey type,Trophic level prey,Data type,Prey replaced?,Hours starved,Temp (C ),Interference,Pred per arena,2D Arena size (cm2) (bottom SA),3D arena size (cm3),Predator mass (mg),Predator mass source code,Predator mass identifier,Prey mass (mg),Prey mass source code,Prey mass identifier,Units of a,Mean R2 of fits,Fitted a (median of BS samples),CI a low,CI a hi,Fittted h (day),CI h low,CI h hi,Notes 1
648,Wasserman et al 2016 ECOSPHERE,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Enithares sobria,Wild caught,3,Metazoan,Invertebrate,Crustacean,Cladoceran,Water flea,Daphnia longispina,Wild caught,2,Raw data,N,48,22,,1,3.42E+01,2.50E+02,1.20E-01,Original length,1,5.55E-01,Original length,1,m^3 per pred per day,0.96,3.83E-04,3.20E-04,4.42E-04,4.36E-03,1.96E-03,5.88E-03,"Low habitat complexity, 2 stalks of Cyperus eragrostis in arena, 10cm long, 0.4cm diameter"
649,Wasserman et al 2016 ECOSPHERE,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Enithares sobria,Wild caught,3,Metazoan,Invertebrate,Crustacean,Cladoceran,Water flea,Daphnia longispina,Wild caught,2,Raw data,N,48,30,,1,3.42E+01,2.50E+02,1.20E-01,Original length,1,5.55E-01,Original length,1,m^3 per pred per day,0.94,3.28E-04,2.71E-04,3.77E-04,8.26E-03,5.00E-03,9.72E-03,"Low habitat complexity, 2 stalks of Cyperus eragrostis in arena, 10cm long, 0.4cm diameter"
650,Wasserman et al 2016 ECOSPHERE,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Enithares sobria,Wild caught,3,Metazoan,Invertebrate,Crustacean,Cladoceran,Water flea,Daphnia longispina,Wild caught,2,Raw data,N,48,14,,1,3.42E+01,2.50E+02,1.20E-01,Original length,1,5.55E-01,Original length,1,m^3 per pred per day,0.87,4.31E-04,3.22E-04,5.56E-04,7.60E-03,4.77E-03,9.52E-03,"High habitat complexity, 4 stalks of Cyperus eragrostis in arena, 10cm long, 0.4cm diameter"
651,Wasserman et al 2016 ECOSPHERE,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Enithares sobria,Wild caught,3,Metazoan,Invertebrate,Crustacean,Cladoceran,Water flea,Daphnia longispina,Wild caught,2,Raw data,N,48,22,,1,3.42E+01,2.50E+02,1.20E-01,Original length,1,5.55E-01,Original length,1,m^3 per pred per day,0.97,3.91E-04,3.47E-04,4.49E-04,3.15E-03,1.89E-03,4.64E-03,"High habitat complexity, 4 stalks of Cyperus eragrostis in arena, 10cm long, 0.4cm diameter"
652,Wasserman et al 2016 ECOSPHERE,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Insect,Hemiptera,Enithares sobria,Wild caught,3,Metazoan,Invertebrate,Crustacean,Cladoceran,Water flea,Daphnia longispina,Wild caught,2,Raw data,N,48,30,,1,3.42E+01,2.50E+02,1.20E-01,Original length,1,5.55E-01,Original length,1,m^3 per pred per day,0.95,3.61E-04,3.01E-04,4.17E-04,6.24E-03,4.15E-03,8.37E-03,"High habitat complexity, 4 stalks of Cyperus eragrostis in arena, 10cm long, 0.4cm diameter"
653,Båmstedt et al 1994 ICES J OF MARINE SCI,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Cnidarian,Scyphozoa,Aurelia aurita,Ephyra larvae,,Metazoan,Invertebrate,Crustacean,Branchiopod,,Artemia sp.,1-4 day-old nauplii,,Raw data,N,,12,,6-Feb,,4.50E+03,3.05E+01,Original mass,12,3.50E-01,Original mass,4,m^3 per pred per day,0.58,2.19E-03,1.58E-03,7.67E-03,5.42E-10,1.86E-11,4.51E-03,
654,Båmstedt et al 1994 ICES J OF MARINE SCI,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Cnidarian,Scyphozoa,Cyanea capillata,Small medusae,,Metazoan,Invertebrate,Crustacean,Copepod,Mixed zooplankton 55% Pseudocalanus spp.,Pseudocalanus spp.,Wild caught,,Raw data,N,,10,,2,,9.00E+04,2.45E+04,Original length,8,3.73E-01,Original length,5,m^3 per pred per day,0.87,1.19E-01,7.43E-02,2.89E-01,1.54E-04,3.49E-13,2.01E-04,
655,Båmstedt et al 1994 ICES J OF MARINE SCI,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Cnidarian,Scyphozoa,Cyanea capillata,Small medium medusae,,Metazoan,Invertebrate,Crustacean,Copepod,Mixed zooplankton 55% Pseudocalanus spp.,Pseudocalanus spp.,Wild caught,,Raw data,N,,10,,2,,9.00E+04,3.37E+04,Original length,7,3.73E-01,Original length,5,m^3 per pred per day,0.83,1.77E-01,1.02E-01,3.94E-01,1.17E-04,4.31E-13,1.65E-04,
656,Båmstedt et al 1994 ICES J OF MARINE SCI,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Cnidarian,Scyphozoa,Cyanea capillata,Medium medusae,,Metazoan,Invertebrate,Crustacean,Copepod,Mixed zooplankton 55% Pseudocalanus spp.,Pseudocalanus spp.,Wild caught,,Raw data,N,,10,,2,,9.00E+04,5.82E+04,Original length,6,3.73E-01,Original length,5,m^3 per pred per day,0.87,1.60E-01,9.88E-02,3.58E-01,7.28E-05,8.96E-12,1.63E-04,
657,Båmstedt et al 1994 ICES J OF MARINE SCI,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Cnidarian,Scyphozoa,Cyanea capillata,Medium large medusae,,Metazoan,Invertebrate,Crustacean,Copepod,Mixed zooplankton 55% Pseudocalanus spp.,Pseudocalanus spp.,Wild caught,,Raw data,N,,10,,2,,9.00E+04,9.24E+04,Original length,5,3.73E-01,Original length,5,m^3 per pred per day,0.91,1.52E-01,9.44E-02,2.63E-01,7.40E-05,1.28E-12,1.29E-04,
658,Båmstedt et al 1994 ICES J OF MARINE SCI,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Cnidarian,Scyphozoa,Cyanea capillata,Large medusae,,Metazoan,Invertebrate,Crustacean,Copepod,Mixed zooplankton 55% Pseudocalanus spp.,Pseudocalanus spp.,Wild caught,,Raw data,N,,10,,2,,9.00E+04,1.38E+05,Original length,4,3.73E-01,Original length,5,m^3 per pred per day,0.95,3.00E-01,1.71E-01,4.55E-01,9.15E-05,8.02E-13,1.08E-04,
659,Båmstedt et al 1994 ICES J OF MARINE SCI,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Cnidarian,Scyphozoa,Cyanea capillata,Extra large medusae,,Metazoan,Invertebrate,Crustacean,Copepod,Mixed zooplankton 55% Pseudocalanus spp.,Pseudocalanus spp.,Wild caught,,Raw data,N,,10,,2,,9.00E+04,1.65E+05,Original length,3,3.73E-01,Original length,5,m^3 per pred per day,0.8,4.98E-01,2.24E-01,1.26E+01,8.67E-05,2.57E-12,1.20E-04,
660,Márquez et al 2007 J OF MOLLUSCAN STUDIES,Predator,2.5,,Aquatic,Marine,Metazoan,Invertebrate,Mollusk,Cephalopod,Octopus vulgaris,"Paralarvae, 0-1 day old",,Metazoan,Invertebrate,Crustacean,Branchiopod,,Artemia sp.,"Metanauplii, 0-2 days old",,Mean,N,,20,,1,9.62E+00,9.20E+00,1.49E+03,Original length,2,1.40E-02,Original length,2,m^2.5 per pred per day,0.28,2.67E-05,1.94E-05,4.47E-05,4.69E-02,1.07E-02,7.46E-02,Light (7.5W*m^-2) with White background
661,Márquez et al 2007 J OF MOLLUSCAN STUDIES,Predator,2.5,,Aquatic,Marine,Metazoan,Invertebrate,Mollusk,Cephalopod,Octopus vulgaris,"Paralarvae, 0-1 day old",,Metazoan,Invertebrate,Crustacean,Branchiopod,,Artemia sp.,"Metanauplii, 0-2 days old",,Mean,N,,20,,1,9.62E+00,9.20E+00,1.49E+03,Original length,2,1.40E-02,Original length,2,m^2.5 per pred per day,0.38,1.48E-05,9.99E-06,2.94E-05,7.46E-08,9.02E-10,5.62E-02,Light (7.5W*m^-2) with Blue background
662,Márquez et al 2007 J OF MOLLUSCAN STUDIES,Predator,2.5,,Aquatic,Marine,Metazoan,Invertebrate,Mollusk,Cephalopod,Octopus vulgaris,"Paralarvae, 0-1 day old",,Metazoan,Invertebrate,Crustacean,Branchiopod,,Artemia sp.,"Metanauplii, 0-2 days old",,Mean,N,,20,,1,9.62E+00,9.20E+00,1.49E+03,Original length,2,1.40E-02,Original length,2,m^2.5 per pred per day,0.23,3.88E-06,2.12E-06,1.39E-05,2.66E-08,3.62E-09,2.07E-01,Darkness
663,Sueldo et al 2010 J INS SCI,Predator,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Dermaptera,Doru lineara,Female,3,Metazoan,Invertebrate,Insect,Lepidoptera,Fall armyworm,Spodoptera frugiperda,1st instar,2,Raw data,N,48,26,,1,2.54E+02,8.91E+03,7.03E+01,Alternate order length,1,8.65E-02,% mass,1,m^2.5 per pred per day,0.71,1.78E-01,1.39E-01,2.36E-01,1.89E-03,1.47E-03,2.25E-03,
664,Rossi et al 2006 ECOL RES,Predator,2.5,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Nesticodes rufipes,Adult female,,Metazoan,Invertebrate,Insect,Diptera,House fly,Musca domestica,Adult,,Raw data,Y,120,25,,1,8.66E+01,9.09E+02,3.45E+01,Alternate species length,2,8.69E+00,Alternate species length,1,m^2.5 per pred per day,0.45,7.21E-04,5.35E-04,9.73E-04,4.26E-01,1.57E-01,6.33E-01,
665,Rossi et al 2006 ECOL RES,Predator,2.5,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Nesticodes rufipes,Adult female,,Metazoan,Invertebrate,Insect,Diptera,House fly,Musca domestica,Adult,,Raw data,Y,480,25,,1,8.66E+01,9.09E+02,3.45E+01,Alternate species length,2,8.69E+00,Alternate species length,1,m^2.5 per pred per day,0.64,6.87E-04,5.56E-04,8.41E-04,3.21E-01,1.14E-01,4.65E-01,
666,Sokolow et al 2014 ACTA TROPICA,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Decapod,Macrobrachium rosenbergii and vollenhovenii,Small juvenile,,Metazoan,Invertebrate,Mollusk,Gastropod,Snails,"Biomphalaria globrata, Bulinus truncatus truncatus",Small,,Mean,Y,24,,,1,,6.00E+03,2.00E+03,Original mass,1,1.04E+02,Original species length,2,m^3 per pred per day,0.07,7.97E-01,5.90E-02,3.03E+04,3.15E-02,2.46E-02,3.65E-02,
667,Sokolow et al 2014 ACTA TROPICA,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Decapod,Macrobrachium rosenbergii and vollenhovenii,Medium juvenile,,Metazoan,Invertebrate,Mollusk,Gastropod,Snails,"Biomphalaria globrata, Bulinus truncatus truncatus",Small,,Mean,Y,24,,,1,,6.00E+03,6.50E+03,Original mass,2,1.04E+02,Original species length,2,m^3 per pred per day,0.1,3.45E-01,6.28E-02,2.50E+04,2.54E-02,2.02E-02,2.99E-02,
668,Sokolow et al 2014 ACTA TROPICA,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Decapod,Macrobrachium rosenbergii and vollenhovenii,Large juvenile,,Metazoan,Invertebrate,Mollusk,Gastropod,Snails,"Biomphalaria globrata, Bulinus truncatus truncatus",Small,,Mean,Y,24,,,1,,6.00E+03,3.00E+04,Original mass,3,1.04E+02,Original species length,2,m^3 per pred per day,0.23,1.53E-01,6.25E-02,7.13E+03,1.96E-02,1.58E-02,2.39E-02,
669,Sokolow et al 2014 ACTA TROPICA,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Decapod,Macrobrachium rosenbergii and vollenhovenii,Small juvenile,,Metazoan,Invertebrate,Mollusk,Gastropod,Snails,"Biomphalaria globrata, Bulinus truncatus truncatus",Large,,Mean,Y,24,,,1,,6.00E+03,2.00E+03,Original mass,1,3.12E+02,Original species length,1,m^3 per pred per day,0.77,2.84E-04,1.74E-04,4.90E-04,4.53E-01,1.68E-07,8.80E-01,
670,Sokolow et al 2014 ACTA TROPICA,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Decapod,Macrobrachium rosenbergii and vollenhovenii,Medium juvenile,,Metazoan,Invertebrate,Mollusk,Gastropod,Snails,"Biomphalaria globrata, Bulinus truncatus truncatus",Large,,Mean,Y,24,,,1,,6.00E+03,6.50E+03,Original mass,2,3.12E+02,Original species length,1,m^3 per pred per day,0.34,5.81E-03,2.52E-03,5.27E-02,2.67E-01,1.87E-01,3.39E-01,
671,Sokolow et al 2014 ACTA TROPICA,Predator,3,,Aquatic,Fresh,Metazoan,Invertebrate,Crustacean,Decapod,Macrobrachium rosenbergii and vollenhovenii,Large juvenile,,Metazoan,Invertebrate,Mollusk,Gastropod,Snails,"Biomphalaria globrata, Bulinus truncatus truncatus",Large,,Mean,Y,24,,,1,,6.00E+03,3.00E+04,Original mass,3,3.12E+02,Original species length,1,m^3 per pred per day,0.15,4.11E-02,1.44E-02,5.18E+03,9.54E-02,7.24E-02,1.13E-01,
672,Tully et al 2005 OIKOS,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Pergamasus crassipes,"Adult, wild caught",,Metazoan,Invertebrate,Hexapod,,Springtail,Folsomia candida,,,Mean,Y,12,20,,1,,,6.13E-02,Alternate order mass,1,1.13E-01,Average species mass,3,m^2 per pred per day,0.83,3.90E-01,3.45E-01,4.51E-01,5.10E-03,4.21E-03,6.22E-03,
673,De Lafontaine and Leggett 1987 CJFAS,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Cnidarian,Scyphozoa,Aurelia aurita,Wild caught,,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Yolk-sac larvae,,Raw data,N,,12.4,,2,,2.70E+05,6.08E+03,Original length,2,3.69E-01,Original length,1,m^3 per pred per day,0.9,1.97E-01,1.55E-01,2.82E-01,2.15E-03,3.74E-12,2.90E-03,
674,De Lafontaine and Leggett 1987 CJFAS,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Cnidarian,Scyphozoa,Aurelia aurita,Wild caught,,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Yolk-sac larvae,,Raw data,N,,12.4,,2.5,,8.90E+05,6.08E+03,Original length,2,3.69E-01,Original length,1,m^3 per pred per day,0.67,3.35E-01,1.25E-01,1.27E+00,4.33E-03,4.16E-12,1.69E-02,
675,De Lafontaine and Leggett 1987 CJFAS,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Cnidarian,Scyphozoa,Aurelia aurita,Wild caught,,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Yolk-sac larvae,,Raw data,N,,12.4,,2.5,,3.21E+06,6.08E+03,Original length,2,3.69E-01,Original length,1,m^3 per pred per day,0.91,5.80E-01,4.38E-01,1.01E+00,1.74E-03,1.30E-11,5.99E-03,
676,De Lafontaine and Leggett 1987 CJFAS,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Cnidarian,Scyphozoa,Aurelia aurita,Wild caught,,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Yolk-sac larvae,,Raw data,N,,12.4,,2.5,,6.35E+06,6.08E+03,Original length,2,3.69E-01,Original length,1,m^3 per pred per day,0.93,8.30E-01,6.05E-01,2.17E+00,1.10E-03,8.28E-14,1.20E-02,
677,Von Westernhagen and Rosenthal 1976 FISHERY BULLETIN,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Amphipod,Hyperoche medusarum,"Immature, wild caught",,Metazoan,Vertebrate,Fish,Clupeidae,Pacific herring,Clupea harengus,Yolk-sac larvae,,Mean,N,,9,Y,1,,5.00E+02,6.63E-02,Original length,1,3.91E+00,Original length,6,m^3 per pred per day,0.66,2.48E-04,1.92E-04,3.63E-04,5.54E-02,2.90E-02,9.04E-02,
678,Von Westernhagen and Rosenthal 1976 FISHERY BULLETIN,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Amphipod,Hyperoche medusarum,"Immature, wild caught",,Metazoan,Vertebrate,Fish,Clupeidae,Pacific herring,Clupea harengus,Yolk-sac larvae,,Mean,N,,9,Y,2,,5.00E+02,6.63E-02,Original length,1,3.91E+00,Original length,6,m^3 per pred per day,0.59,1.89E-04,1.42E-04,2.89E-04,1.21E-01,6.64E-02,1.74E-01,
679,Von Westernhagen and Rosenthal 1976 FISHERY BULLETIN,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Amphipod,Hyperoche medusarum,"Immature, wild caught",,Metazoan,Vertebrate,Fish,Clupeidae,Pacific herring,Clupea harengus,Yolk-sac larvae,,Mean,N,,9,Y,4,,5.00E+02,6.63E-02,Original length,1,3.91E+00,Original length,6,m^3 per pred per day,0.57,1.37E-04,9.42E-05,2.13E-04,2.17E-01,1.36E-01,3.15E-01,
680,Von Westernhagen and Rosenthal 1976 FISHERY BULLETIN,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Amphipod,Hyperoche medusarum,"Immature, wild caught",,Metazoan,Vertebrate,Fish,Clupeidae,Pacific herring,Clupea harengus,Yolk-sac larvae,,Mean,N,,9,Y,8,,5.00E+02,6.63E-02,Original length,1,3.91E+00,Original length,6,m^3 per pred per day,0.62,6.97E-05,5.18E-05,1.08E-04,1.76E-01,6.12E-02,3.43E-01,
681,Von Westernhagen and Rosenthal 1976 FISHERY BULLETIN,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Amphipod,Hyperoche medusarum,"Immature, wild caught",,Metazoan,Vertebrate,Fish,Clupeidae,Pacific herring,Clupea harengus,Yolk-sac larvae,,Mean,N,,9,Y,16,,5.00E+02,6.63E-02,Original length,1,3.91E+00,Original length,6,m^3 per pred per day,0.67,4.92E-05,3.73E-05,6.95E-05,1.21E-01,2.57E-03,2.55E-01,
682,Titelman et al 2007 MARINE BIOLOGY,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Cnidarian,Scyphozoa,Cyanea capillata,Wild caught,,Metazoan,Invertebrate,Cnidarian,,Moon jellyfish,Aurelia aurita,Wild caught,,Mean,Y,6,,,1,,2.60E+06,1.10E+06,Original length,2,1.39E+04,Original length,1,m^3 per pred per day,0.68,6.71E+01,4.71E+01,9.74E+01,5.91E-03,3.98E-03,7.63E-03,
683,Sell et al 2001 LIMNOLOGY AND OCEANOGRAPHY,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Copepod,Centropages typicus,"Adult female, wild caught",,Metazoan,Invertebrate,Crustacean,Copepod,copepod,Calanus finmarchicus,eggs <12hrs old,,Mean,N,0,6,,10,,2.35E+03,8.57E-02,Original length,1,,,,m^3 per pred per day,0.75,1.40E-04,9.33E-05,2.24E-04,3.08E-02,9.45E-09,6.29E-02,"Higher prey densities were carried out in a smaller container size, 1150 cm3, and fewer predators, 5"
684,Sell et al 2001 LIMNOLOGY AND OCEANOGRAPHY,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Copepod,Metridia lucens,"Adult female, wild caught",,Metazoan,Invertebrate,Crustacean,Copepod,copepod,Calanus finmarchicus,eggs <12hrs old,,Mean,N,0,6,,10,,2.35E+03,2.12E-01,Original length,1,,,,m^3 per pred per day,0.87,1.06E-04,8.18E-05,1.50E-04,7.86E-03,3.60E-10,2.08E-02,"Higher prey densities were carried out in a smaller container size, 1150 cm3, and fewer predators, 5"
685,Sell et al 2001 LIMNOLOGY AND OCEANOGRAPHY,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Copepod,Centropages typicus,"Adult female, wild caught",,Metazoan,Invertebrate,Crustacean,Copepod,copepod,Calanus finmarchicus,"Nauplii, stages N1-N3",,Mean,N,0,6,,10,,2.35E+03,8.57E-02,Original length,1,1.13E-01,Original length,1,m^3 per pred per day,0.89,2.00E-04,1.73E-04,2.72E-04,2.26E-02,9.74E-10,6.44E-02,"Higher prey densities were carried out in a smaller container size, 1150 cm3, and fewer predators, 5"
686,Sell et al 2001 LIMNOLOGY AND OCEANOGRAPHY,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Copepod,Metridia lucens,"Adult female, wild caught",,Metazoan,Invertebrate,Crustacean,Copepod,copepod,Calanus finmarchicus,"Nauplii, stages N1-N3",,Mean,N,0,6,,10,,2.35E+03,2.12E-01,Original length,1,1.13E-01,Original length,1,m^3 per pred per day,0.86,1.95E-04,1.82E-04,2.53E-04,2.63E-09,3.53E-10,3.03E-02,"Higher prey densities were carried out in a smaller container size, 1150 cm3, and fewer predators, 5"
687,Sell et al 2001 LIMNOLOGY AND OCEANOGRAPHY,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Copepod,Metridia lucens,"Adult female, wild caught",,Metazoan,Invertebrate,Crustacean,Copepod,copepod,Calanus finmarchicus,"Nauplii, 3% N2, 97% N3",,Mean,N,0,9.1,,10,,2.35E+03,2.12E-01,Original length,1,1.98E-03,Original length,3,m^3 per pred per day,0.4,3.24E-04,1.75E-04,1.80E-03,9.26E-02,4.00E-09,2.01E-01,"Higher prey densities were carried out in a smaller container size, 1150 cm3, and fewer predators, 5"
688,Sell et al 2001 LIMNOLOGY AND OCEANOGRAPHY,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Copepod,Metridia lucens,"Adult female, wild caught",,Metazoan,Invertebrate,Crustacean,Copepod,copepod,Pseudocalanus spp.,"Nauplii, 3% N1, 49% N2, 39% N3, 9% N4",,Mean,N,0,9.8,,10,,2.35E+03,2.12E-01,Original length,1,1.38E-03,Original length,4,m^3 per pred per day,0.26,3.33E-05,1.97E-05,1.85E-04,1.39E-07,1.10E-08,1.01E+00,"Higher prey densities were carried out in a smaller container size, 1150 cm3, and fewer predators, 5"
689,Sell et al 2001 LIMNOLOGY AND OCEANOGRAPHY,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Copepod,Centropages typicus,"Adult female, wild caught",,Metazoan,Invertebrate,Crustacean,Copepod,copepod,Calanus finmarchicus,eggs <12hrs old,,Mean,N,0,6,,10,,2.35E+03,8.57E-02,Original length,1,,,,m^3 per pred per day,0.48,1.79E-04,1.29E-04,2.68E-04,7.70E-02,2.65E-02,1.27E-01,"Higher prey densities were carried out in a smaller container size, 1150 cm3, and fewer predators, 5"
690,Sell et al 2001 LIMNOLOGY AND OCEANOGRAPHY,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Copepod,Centropages typicus,"Adult female, wild caught",,Metazoan,Invertebrate,Crustacean,Copepod,copepod,Calanus finmarchicus,eggs <12hrs old,,Mean,N,0,11,,10,,2.35E+03,8.57E-02,Original length,1,,,,m^3 per pred per day,0.94,1.85E-04,1.78E-04,2.03E-04,1.00E-09,8.96E-11,4.96E-03,"Higher prey densities were carried out in a smaller container size, 1150 cm3, and fewer predators, 5"
691,Sell et al 2001 LIMNOLOGY AND OCEANOGRAPHY,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Copepod,Centropages typicus,"Adult female, wild caught",,Metazoan,Invertebrate,Crustacean,Copepod,copepod,Calanus finmarchicus,"Nauplii, N3",,Mean,N,0,6,,10,,2.35E+03,8.57E-02,Original length,1,1.98E-03,Original length,3,m^3 per pred per day,0.89,1.99E-04,1.74E-04,2.76E-04,2.13E-02,4.77E-10,6.58E-02,"Higher prey densities were carried out in a smaller container size, 1150 cm3, and fewer predators, 5"
692,Sell et al 2001 LIMNOLOGY AND OCEANOGRAPHY,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Copepod,Centropages typicus,"Adult female, wild caught",,Metazoan,Invertebrate,Crustacean,Copepod,copepod,Calanus finmarchicus,"Nauplii, N3",,Mean,N,0,11,,10,,2.35E+03,8.57E-02,Original length,1,1.98E-03,Original length,3,m^3 per pred per day,0.82,1.62E-04,1.48E-04,2.54E-04,1.20E-08,5.71E-10,5.60E-02,"Higher prey densities were carried out in a smaller container size, 1150 cm3, and fewer predators, 5"
693,Sell et al 2001 LIMNOLOGY AND OCEANOGRAPHY,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Copepod,Metridia lucens,"Adult female, wild caught",,Metazoan,Invertebrate,Crustacean,Copepod,copepod,Calanus finmarchicus,"Nauplii, N3",,Mean,N,0,6,,10,,2.35E+03,2.12E-01,Original length,1,1.98E-03,Original length,3,m^3 per pred per day,0.86,1.94E-04,1.78E-04,2.79E-04,2.36E-09,3.61E-10,3.43E-02,"Higher prey densities were carried out in a smaller container size, 1150 cm3, and fewer predators, 5"
